Date,Open,High,Low,Close,Volume,Adj Close
2011-08-19,113.34,116.27,112.90,113.12,7599100,104.79812
2011-08-18,116.94,117.05,113.80,114.85,6622500,106.40085
2011-08-17,120.65,121.62,119.14,120.13,3128800,111.29241
2011-08-16,119.94,121.10,118.73,120.01,5599600,111.18124
2011-08-15,119.61,121.15,119.42,121.03,4020200,112.12621
2011-08-12,118.82,119.61,117.72,118.58,5796900,109.85645
2011-08-11,113.63,119.31,113.26,117.78,11759500,109.1153
2011-08-10,115.65,116.66,112.36,112.60,14654300,104.31637
2011-08-09,114.50,118.43,110.66,118.43,12599000,109.71748
2011-08-08,117.30,118.74,112.46,112.63,17154500,104.34416
2011-08-05,122.20,122.50,117.29,120.43,15956400,111.57034
2011-08-04,124.86,125.03,120.49,120.67,9629400,111.79269
2011-08-03,126.10,126.73,123.96,126.65,6865000,117.33276
2011-08-02,128.30,128.95,125.94,125.99,6136400,116.72131
2011-08-01,131.31,131.46001,128.00,129.20,5483200,119.69516
2011-07-29,129.38,131.00,128.83,129.81,4962800,120.26028
2011-07-28,131.05,132.22,130.48,130.67999,3922800,121.06628
2011-07-27,133.05,133.08,130.89999,131.08,3551400,121.43686
2011-07-26,134.22,134.42,133.50,133.80,2279700,123.95676
2011-07-25,133.78,134.95,133.64,134.34,2483200,124.45702
2011-07-22,134.98,135.19,134.24001,135.05,1832600,125.1148
2011-07-21,133.86,135.28,133.61,134.96001,3815700,125.03143
2011-07-20,133.53,133.62,132.89,133.14,2284100,123.34531
2011-07-19,131.75999,133.34,131.75999,133.21001,2004600,123.41016
2011-07-18,131.50999,131.72,130.10001,131.02,2267100,121.38127
2011-07-15,132.11,132.31,131.23,132.16,3238400,122.43741
2011-07-14,132.62,133.23,131.16,131.41,2537000,121.74258
2011-07-13,132.59,133.67,132.00,132.33,2480300,122.5949
2011-07-12,132.14,133.24001,131.82001,131.86,2430900,122.15948
2011-07-11,133.21001,133.63,132.13,132.49001,4656300,122.74313
2011-07-08,134.32001,134.89999,133.85001,134.85001,3097200,124.92951
2011-07-07,135.64,136.17,135.37,135.89999,3054900,125.90226
